Dia do Ômer,Semanas e Dias,Data Judaico,Data Gregoriana (Noite Iniciando),Pronúncia (Transliterado),Observações
1,1 dia,16 de Nissan 5785,13 de abril de 2025,"Hayom yom echad la'Omer","Primeira contagem (após o 1º dia de Pêssach)"
2,2 dias,17 de Nissan 5785,14 de abril de 2025,"Hayom shney yamim la'Omer",
3,3 dias,18 de Nissan 5785,15 de abril de 2025,"Hayom shlosha yamim la'Omer",
4,4 dias,19 de Nissan 5785,16 de abril de 2025,"Hayom arba'ah yamim la'Omer",
5,5 dias,20 de Nissan 5785,17 de abril de 2025,"Hayom chamisha yamim la'Omer",
6,6 dias,21 de Nissan 5785,18 de abril de 2025,"Hayom shishah yamim la'Omer",
7,7 dias,22 de Nissan 5785,19 de abril de 2025,"Hayom shiv'ah yamim, shehem shavua echad la'Omer",
8,1 dia e 1 semana,23 de Nissan 5785,20 de abril de 2025,"Hayom yom echad v'shavua echad la'Omer",
9,2 dias e 1 semana,24 de Nissan 5785,21 de abril de 2025,"Hayom shney yamim v'shavua echad la'Omer",
10,3 dias e 1 semana,25 de Nissan 5785,22 de abril de 2025,"Hayom shlosha yamim v'shavua echad la'Omer",
11,4 dias e 1 semana,26 de Nissan 5785,23 de abril de 2025,"Hayom arba'ah yamim v'shavua echad la'Omer",
12,5 dias e 1 semana,27 de Nissan 5785,24 de abril de 2025,"Hayom chamisha yamim v'shavua echad la'Omer",
13,6 dias e 1 semana,28 de Nissan 5785,25 de abril de 2025,"Hayom shishah yamim v'shavua echad la'Omer",
14,7 dias e 1 semana,29 de Nissan 5785,26 de abril de 2025,"Hayom shiv'ah yamim, shehem shnay shavuim la'Omer",
15,1 dia e 2 semanas,1 de Iyar 5785,27 de abril de 2025,"Hayom yom echad u'shnay shavuim la'Omer",
16,2 dias e 2 semanas,2 de Iyar 5785,28 de abril de 2025,"Hayom shney yamim u'shnay shavuim la'Omer",
17,3 dias e 2 semanas,3 de Iyar 5785,29 de abril de 2025,"Hayom shlosha yamim u'shnay shavuim la'Omer",
18,4 dias e 2 semanas,4 de Iyar 5785,30 de abril de 2025,"Hayom arba'ah yamim u'shnay shavuim la'Omer",
19,5 dias e 2 semanas,5 de Iyar 5785,1 de maio de 2025,"Hayom chamisha yamim u'shnay shavuim la'Omer",
20,6 dias e 2 semanas,6 de Iyar 5785,2 de maio de 2025,"Hayom shishah yamim u'shnay shavuim la'Omer",
